Industry,Gender,Highest_Level_Of_Education_Completed,Average_Salary
"Engineering Or Manufacturing",Man,"Professional Degree (Md, Jd, Etc.)",94224.67
"Engineering Or Manufacturing",Man,"Some College",87006.28
"Engineering Or Manufacturing",Man,Unknown,75333.33
"Engineering Or Manufacturing","Other or prefer not to answer","College Degree",88598.69
"Engineering Or Manufacturing","Other or prefer not to answer","High School",44412.00
"Engineering Or Manufacturing","Other or prefer not to answer","Master'S Degree",85628.81
"Engineering Or Manufacturing","Other or prefer not to answer",Phd,104228.00
"Engineering Or Manufacturing","Other or prefer not to answer","Some College",36594.00
"Engineering Or Manufacturing","Other or prefer not to answer",Unknown,75000.00
"Engineering Or Manufacturing",Woman,"College Degree",84136.15
"Engineering Or Manufacturing",Woman,"High School",51946.83
"Engineering Or Manufacturing",Woman,"Master'S Degree",101870.87
"Engineering Or Manufacturing",Woman,Phd,114187.64
"Engineering Or Manufacturing",Woman,"Professional Degree (Md, Jd, Etc.)",114955.00
"Engineering Or Manufacturing",Woman,"Some College",55543.33
"Engineering Or Manufacturing",Woman,Unknown,43280.00
Entertainment,Man,"College Degree",108721.70
Entertainment,Man,"High School",162480.00
Entertainment,Man,"Master'S Degree",90951.83
Entertainment,Man,"Some College",66590.00
Entertainment,"Other or prefer not to answer","College Degree",327434.00
Entertainment,"Other or prefer not to answer","High School",28875.00
Entertainment,"Other or prefer not to answer","Master'S Degree",39936.00
Entertainment,"Other or prefer not to answer","Professional Degree (Md, Jd, Etc.)",175000.00
Entertainment,"Other or prefer not to answer","Some College",26250.00
Entertainment,Woman,"College Degree",98003.65
Entertainment,Woman,"High School",57229.17
Entertainment,Woman,"Master'S Degree",74385.37
Entertainment,Woman,Phd,107625.00
Entertainment,Woman,"Professional Degree (Md, Jd, Etc.)",114985.00
Entertainment,Woman,"Some College",128315.38
Entertainment,Woman,Unknown,92916.67
"Entrepreneur High Net Worth ",Woman,"High School",57500.00
Environmental,Man,"College Degree",58676.80
Environmental,Man,"Master'S Degree",78227.00
Environmental,"Other or prefer not to answer","Master'S Degree",89000.00
Environmental,Woman,"College Degree",78171.10
Environmental,Woman,"High School",33440.20
Environmental,Woman,"Master'S Degree",59819.71
Environmental,Woman,Phd,66488.40
Environmental,Woman,"Some College",45000.00
"Executive Search",Woman,"College Degree",89000.00
"Executive Search",Woman,"Master'S Degree",95000.00
Facilities,Woman,"College Degree",48750.00
Facilities,Woman,"Master'S Degree",65000.00
Faith/Spirituality,Woman,"Master'S Degree",50328.00
"Family Office",Woman,"College Degree",122500.00
Fashion,Woman,"College Degree",79500.00
Fashion,Woman,"Master'S Degree",68000.00
"Fast Food","Other or prefer not to answer","College Degree",38188.00
"Fast Food","Other or prefer not to answer","High School",31200.00
"Fast Food",Woman,"College Degree",29120.00
Federal,Man,"College Degree",70000.00
Federal,Woman,"Master'S Degree",125500.00
"Film Post-Production",Man,"College Degree",95000.00
Finance,Man,"Master'S Degree",200000.00
Finance,Woman,"College Degree",98547.75
Finance,Woman,"Master'S Degree",110000.00
Finance,Woman,"Professional Degree (Md, Jd, Etc.)",129000.00
Fintech,Woman,"College Degree",88666.67
Fintech,Woman,"Master'S Degree",110000.00
"Fire Protection",Woman,"College Degree",70000.00
"Fmcg Development",Man,"Master'S Degree",40655.00
"Fmcg Development",Woman,"Master'S Degree",78000.00
Food,Man,"College Degree",89000.00
Food,Man,"Master'S Degree",69250.00
Food,Man,Phd,78750.00
Food,Man,"Some College",58146.67
Food,"Other or prefer not to answer","College Degree",63940.00
Food,"Other or prefer not to answer","Some College",20900.00
Food,Woman,"College Degree",48380.85
Food,Woman,"Master'S Degree",123017.14
Food,Woman,Phd,85000.00
Food,Woman,"Some College",60904.00
"Forklift Operator Warehouse",Man,"High School",40560.00
Freelance,Man,"College Degree",66000.00
Fundraising,"Other or prefer not to answer","Some College",44000.00
Fundraising,Woman,"College Degree",67500.00
Fundraising,Woman,"High School",115000.00
