Job_Title,Years_of_Professional_Experience_Overall,Total_Compensation
"Data Analyst","21 - 30 years",718837.00
"Deputy General Counsel","11 - 20 years",717000.00
"Hr Generalist","5-7 years",716572.00
"Senior Account Manager","11 - 20 years",716500.00
"It Project Manager","11 - 20 years",714301.00
"Director Of Technology","21 - 30 years",714000.00
"Production Manager","11 - 20 years",710200.00
Lecturer,"11 - 20 years",708676.90
Architect,"11 - 20 years",705829.00
Teacher,"2 - 4 years",705425.60
Pharmacist,"5-7 years",704718.00
"Analytics Manager","5-7 years",703000.00
"Human Resources Manager","21 - 30 years",702050.00
"Account Executive","5-7 years",702000.00
"Senior Vice President","21 - 30 years",702000.00
"Production Services Manager","11 - 20 years",701000.00
"Director Of Strategic Initiatives ","11 - 20 years",700000.00
"Licensed Professional Counselor ","2 - 4 years",700000.00
"Team Lead","11 - 20 years",699922.70
"Staff Attorney","8 - 10 years",697291.00
"Senior Editor","8 - 10 years",696368.00
"Special Education Teacher","11 - 20 years",693920.00
"Project Coordinator","8 - 10 years",693761.00
"Senior Program Manager","21 - 30 years",692770.00
"Consultant ","11 - 20 years",690500.00
President,"11 - 20 years",690000.00
"Human Resources Manager","8 - 10 years",687744.00
"Account Director","11 - 20 years",684250.00
Economist,"5-7 years",683510.50
"Executive Assistant","2 - 4 years",682663.00
"Accounting Manager","21 - 30 years",681000.00
"Administrative Assistant","2 - 4 years",680090.00
"Account Executive","8 - 10 years",678035.00
"Project Coordinator","11 - 20 years",676310.00
"Creative Director ","21 - 30 years",675000.00
"Business Development Manager","8 - 10 years",673580.00
Archivist,"8 - 10 years",672673.80
"Marketing Manager ","11 - 20 years",672000.00
"Learning Specialist","21 - 30 years",671040.00
"Civil Engineer","5-7 years",665187.00
"Associate Director, Marketing","11 - 20 years",664540.50
"Director, Clinical Operations ","11 - 20 years",664500.00
"Program Analyst","8 - 10 years",661883.00
Recruiter,"11 - 20 years",659700.00
Cfo,"31 - 40 years",658400.00
Paralegal,"5-7 years",658305.00
"Account Executive","11 - 20 years",658300.00
"Program Analyst","11 - 20 years",658285.90
"Education Technology Manager","11 - 20 years",657900.00
"Quality Engineer","2 - 4 years",656004.00
"Quality Engineer","11 - 20 years",655000.00
Paralegal,"2 - 4 years",654810.00
"Physician ","5-7 years",650000.00
"Vp, Analytics","21 - 30 years",650000.00
"Chief Product Officer","21 - 30 years",649250.00
"Associate General Counsel","8 - 10 years",648685.00
"Assistant Professor ","11 - 20 years",647500.00
"Vp Product","11 - 20 years",647072.00
"Managing Principal","11 - 20 years",645000.00
"Digital Marketing Manager","11 - 20 years",644426.90
"Assistant Professor","2 - 4 years",644100.00
"Data Engineer","5-7 years",644000.00
"Director Of Development","11 - 20 years",643700.00
"Production Manager","8 - 10 years",643044.00
Counsel,"8 - 10 years",642500.00
Coordinator,"8 - 10 years",640550.00
"Managing Director","31 - 40 years",640000.00
"Vice Principal","11 - 20 years",640000.00
Accountant,"11 - 20 years",639850.00
"Assistant Director","5-7 years",639535.00
"Senior Technical Writer","11 - 20 years",638618.50
"Software Engineer ","2 - 4 years",637765.40
Editor,"5-7 years",635580.00
"Staff Software Engineer","5-7 years",634200.00
"Program Coordinator","2 - 4 years",633778.00
Ceo,"31 - 40 years",633138.00
"Hr Director ","11 - 20 years",632890.00
"It Security Consultant ","21 - 30 years",632000.00
"Software Architect","21 - 30 years",628870.00
"Mechanical Engineer","2 - 4 years",627425.00
"Hr Generalist","8 - 10 years",626600.00
"Manager, Program Management","11 - 20 years",623000.00
"Principal Product Manager","21 - 30 years",621000.00
"Principal Software Engineer ","11 - 20 years",621000.00
"Research Assistant","2 - 4 years",620326.00
Realtor,"8 - 10 years",619400.00
"Electrical Engineer","2 - 4 years",618970.00
"Senior Manager","5-7 years",615130.00
"Vice President","5-7 years",615000.00
"Pharmacy Manager","11 - 20 years",614747.00
"Registered Nurse","8 - 10 years",614384.70
"Communications Specialist","5-7 years",614117.00
